id,name,length,mode,mood,tags,hex
1,rosecoal_blush_contrast,5,both,contrast,"rosy, bold, dark",#F2E4DC|#F2ADA7|#F25C5C|#BF6060|#404040
2,melon_flame_bright,5,both,bright,"peach, vivid, playful",#F2BE7E|#F2916D|#F2BBAE|#BF3326|#F26F63
3,spiced_clay_warm,5,both,warm,"baked, natural, dense",#BF8049|#D9B391|#A6511F|#A6401B|#0D0807
4,sunset_mocha_rich,5,both,rich,"burnt, creamy, dusk",#EEBB78|#ECD7B2|#EB965F|#26211F|#D8503D
5,sunrise_teal_gentle,4,both,gentle,"dawn, soft",#FFDAB9|#FFE4B5|#FFDEAD|#F5DEB3
6,copper_olive_warm,5,both,warm,"autumn, rustic, organic",#7A8C51|#534942|#F2C46D|#A66E29|#F28066
7,bauhaus_pop_bold,5,both,bold,"graphic, modern, retro",#4E8DA6|#F29422|#F2E3D0|#F25835|#0D0D0D
8,grove_earth_warm,5,both,earthy,"green, muted, grounded",#1B2619|#505942|#F2E0C9|#D98B48|#D97A43
9,sage_stone_subtle,5,both,subtle,"soft, earthy, neutral",#495942|#858C69|#BBBF9F|#D9C2A7|#D9B7B4
10,terracotta_fade_warm,5,both,warm,"burnt, clay, evening",#4D6473|#D9AB82|#BF6430|#A64521|#59291E
11,monolith_vintage_moody,4,both,moody,"retro, faded, contrast",#7C96A6|#261909|#8C2020|#F2F0F0
12,mocha_blush_gentle,5,both,gentle,"muted, pastel, warm",#656A73|#F2EADF|#F2C3A7|#D9886A|#BF6550
13,woodland_gold_earthy,5,both,earthy,"forest, golden, grounded",#45593F|#8DA686|#A6783F|#F2D0A7|#592F0A
14,bauhaus_sand_bright,5,both,bright,"graphic, modern, punchy",#7693A6|#F2F1DF|#F2BA52|#F2A950|#D95323
15,canyon_embers_rich,5,both,rich,"mineral, fiery, grounded",#195959|#77A69D|#73341D|#D94929|#26201F
16,emberwood_sienna_deep,5,both,deep,"charcoal, sienna, rustic",#26181F|#F2E0C9|#BF5A36|#8C513B|#592925
17,citrus_olive_savory,5,both,savory,"green, amber, balanced",#114037|#7F8C7D|#B5BF8F|#F2A341|#BF6A39
18,canyon_mint_bold,5,both,bold,"mineral, desert, lively",#195959|#77A69D|#F2DEC4|#D9965B|#D94929
